Date,open,high,low,close,volume
7/11/2019,49.7442,50.0085,49.3527,49.3625,80767368
7/12/2019,49.5338,49.913,49.4726,49.7418,70380848
7/15/2019,49.9351,50.3706,49.913,50.2091,67789680
7/16/2019,50.0574,50.4293,49.7907,50.0354,67467264
7/17/2019,49.9253,50.1801,49.7344,49.754,56429800
7/18/2019,49.913,50.373,49.8396,50.3192,74328644
7/19/2019,50.351,50.5247,49.5118,49.568,83717228
7/22/2019,49.8274,50.7033,49.8176,50.7009,89111728
7/23/2019,51.0043,51.1144,50.718,51.0972,73420840
7/24/2019,50.811,51.1731,50.6886,51.0556,59966268
7/25/2019,51.1095,51.1951,50.581,50.6519,55638248
7/26/2019,50.7645,51.315,50.6813,50.8281,70475496
7/29/2019,51.0043,51.5377,50.9994,51.3028,86693556
7/30/2019,51.0777,51.4202,50.7229,51.0826,135742872
7/31/2019,52.9519,54.163,51.6991,52.1249,277125444
8/1/2019,52.3353,53.3458,50.5843,50.9969,216071688
8/2/2019,50.2874,50.5076,49.3332,49.9179,163448488
8/5/2019,48.4426,48.6038,47.1189,47.3048,209571876
8/6/2019,48.0315,48.4614,47.4761,48.2003,143299148
8/7/2019,47.8113,48.8267,47.4223,48.6995,133457600
8/8/2019,48.9833,49.798,48.7851,49.7736,108038092
8/9/2019,49.4411,49.7997,48.9474,49.365,98478984
8/12/2019,49.0285,49.6257,48.913,49.2397,89927556
8/13/2019,49.3723,52.1035,49.3257,51.3249,190159144
8/14/2019,49.8979,50.7035,49.7572,49.7972,146189772
8/15/2019,49.9716,50.3842,49.0408,49.5492,111533452
8/16/2019,50.173,50.8804,50.065,50.7183,115254496
8/19/2019,51.7302,52.2486,51.584,51.6639,97727660
8/20/2019,51.794,52.4007,51.6565,51.6663,107678116
8/21/2019,52.3123,52.4744,51.9717,52.2263,86258988
8/22/2019,52.3614,52.6672,51.7621,52.1821,89071276
8/23/2019,51.4379,52.0816,49.3674,49.7702,187531372
8/26/2019,50.5611,50.8877,50.3639,50.7158,104264520
8/27/2019,51.0523,51.2218,49.9888,50.1435,103589376
8/28/2019,50.1288,50.5267,49.9372,50.48,63830528
8/29/2019,51.2095,51.4109,50.7563,51.3348,84030608
8/30/2019,51.6172,51.6884,50.8902,51.2684,84650244
9/3/2019,50.7011,50.8362,50.1583,50.5218,80238296
9/4/2019,51.1825,51.4502,50.9197,51.379,76867280
9/5/2019,52.0691,52.553,51.9488,52.3835,95787936
9/6/2019,52.5726,52.6635,52.1944,52.3786,76928340
9/9/2019,52.7667,53.1596,51.8407,52.6021,109237604
9/10/2019,52.526,53.2431,51.9979,53.2235,127111724
9/11/2019,53.56,54.9452,53.4765,54.9157,177158584
9/12/2019,55.2129,55.6108,54.7364,54.7917,128906676
9/13/2019,54.034,54.228,53.3021,53.727,159053184
9/16/2019,53.4765,54.0659,53.4347,54.0094,84632564
9/17/2019,54.0242,54.2354,53.8179,54.2059,73545872
9/18/2019,54.2943,54.734,53.8965,54.7143,102572372
9/19/2019,54.5277,54.9575,54.1249,54.2698,88751504
9/20/2019,54.3729,54.6628,53.4133,53.4765,231908376
9/23/2019,53.7761,53.9947,53.4568,53.7196,77678592
9/24/2019,54.2931,54.6456,53.3438,53.4642,125737468
9/25/2019,53.6779,54.4024,53.3316,54.287,89924024
9/26/2019,54.034,54.2649,53.7466,54.007,76353248
9/27/2019,54.1666,54.2698,53.3663,53.7442,101445140
9/30/2019,54.255,55.1589,54.228,55.0091,105274332
10/1/2019,55.2792,56.0529,55.0656,55.1613,144748652
10/2/2019,54.7856,54.9133,53.5256,53.7786,143069028
10/3/2019,53.6484,54.2698,52.8384,54.2354,121410744
10/4/2019,55.4192,55.8736,54.9894,55.7557,139022212
10/7/2019,55.574,56.4729,55.4684,55.768,123557076
10/8/2019,55.4634,56.0136,55.0975,55.1147,117130800
10/9/2019,55.7606,55.9473,55.4192,55.7606,76117696
10/10/2019,55.9817,56.5982,55.8269,56.5122,115851936
10/11/2019,57.2146,58.3665,57.0568,58.0153,167960840
10/14/2019,57.6936,58.4879,57.6371,57.9318,97653936
10/15/2019,58.0595,58.369,57.6887,57.7967,92161932
10/16/2019,57.3178,57.7771,57.276,57.5634,77146776
10/17/2019,57.7402,58.0006,57.3546,57.7869,69091588
10/18/2019,57.6174,58.3518,57.5437,58.0644,96992092
10/21/2019,58.3371,59.1893,58.2879,59.0714,87246268
10/22/2019,59.2311,59.4865,58.8533,58.9364,90736004
10/23/2019,59.462,59.7419,59.2458,59.7272,79730180
10/24/2019,60.0539,60.1251,59.3895,59.8255,71665020
10/25/2019,59.7223,60.5991,59.6535,60.5623,73477184
10/28/2019,60.7686,61.2181,60.5967,61.1689,96572964
10/29/2019,61.1493,61.3409,59.5774,59.7542,142839468
10/30/2019,60.1153,60.2479,59.2434,59.7469,124522088
10/31/2019,60.7244,61.1984,58.2732,61.0977,139162080
11/1/2019,61.2893,62.8587,61.196,62.8317,151125336
11/4/2019,63.2026,63.3291,62.7236,63.2443,103271808
11/5/2019,63.1338,63.4138,62.9545,63.1535,79897708
11/6/2019,63.065,63.2419,62.72,63.1805,75864496
11/7/2019,63.7375,64.1341,63.5823,63.9075,94940332
11/8/2019,63.7252,64.1563,63.2719,64.0824,70081980
11/11/2019,63.6291,64.6563,63.6242,64.5898,82029836
11/12/2019,64.4297,64.7352,64.2745,64.5307,87388904
11/13/2019,64.3263,65.2254,64.3115,65.149,103270372
11/14/2019,64.9717,65.25,64.5652,64.6982,89582224
11/15/2019,64.9544,65.4717,64.7894,65.4668,100374664
11/18/2019,65.4767,65.8782,65.0899,65.7969,86803588
11/19/2019,65.994,66.0186,65.3763,65.5974,76278388
11/20/2019,65.4126,65.5464,64.1464,64.8337,106439676
11/21/2019,64.9569,65.0345,64.3386,64.543,121395112
11/22/2019,64.6859,64.8312,64.2548,64.4864,65325052
11/25/2019,64.7155,65.6343,64.6687,65.6171,84118068
11/26/2019,65.7575,65.8117,64.6637,65.1047,105339528
11/27/2019,65.4225,66.0137,65.3559,65.9792,65544488
11/29/2019,65.6737,66.0186,65.5013,65.8338,46617452
12/2/2019,65.8388,66.0802,64.8978,65.0727,94774200
12/3/2019,63.6316,63.9321,63.134,63.9124,117509072
12/4/2019,64.3115,64.8633,64.2154,64.4765,67241552
12/5/2019,64.9815,65.4988,64.7204,65.4225,74645372
12/6/2019,65.8905,66.7576,65.8462,66.6862,106189972
12/9/2019,66.5113,66.7083,65.2574,65.7526,128730580
12/10/2019,66.1664,66.5285,65.4914,66.1368,90529532
12/11/2019,66.2181,66.7822,66.1418,66.701,78893564
12/12/2019,65.9644,67.1419,65.8513,66.8709,137748168
12/13/2019,66.8709,67.8169,66.7404,67.7799,133731224
12/16/2019,68.2356,69.1693,68.2307,68.9402,128324420
12/17/2019,68.8687,69.4107,68.679,69.0757,114303192
12/18/2019,68.9254,69.4427,68.7579,68.9106,116098748
12/19/2019,68.8515,69.2653,68.716,68.9796,98507788
12/20/2019,69.524,69.6274,68.6199,68.8367,276130972
12/23/2019,69.1052,70.0216,69.0667,69.96,98711532
12/24/2019,70.13,70.1792,69.6939,70.0265,48478856
12/26/2019,70.162,71.4331,70.1324,71.4159,93336016
12/27/2019,71.7139,72.416,70.9749,71.3888,146371744
12/30/2019,71.305,72.1007,70.2605,71.8125,144238456
12/31/2019,71.4208,72.3446,71.3198,72.3372,100990500
1/2/2020,72.9752,74.0492,72.7165,73.9876,135647456
1/3/2020,73.1994,74.0443,73.0392,73.2683,146535512
1/6/2020,72.3717,73.8916,72.1155,73.8521,117288824
1/7/2020,73.862,74.1231,73.2806,73.5048,111510620
1/8/2020,73.2018,74.9951,73.2008,74.6872,132363784
1/9/2020,75.6837,76.4707,75.4287,76.2736,167082252
